Комбінації карт,Значення комбінацій карт,,комбінації 3 карт,Значення комбінацій з 3 картами
Путівник and Закохані,"- пам'ятайте про взаємодію з дивовижними та підтримуючими наші поточні зв'язки, це принесе величезний прибуток у майбутньому.",,,
Путівник and Імператор,"- Ми прогавили щось у нашій асоціації з досконалим, і ми змінили наш шлях, враховуючи всі обставини. Сьогодні ми підключаємося до наших звичайних уявлень про адміністративні якості та здійснюємо акт чистої довіри, щоб жити мотивацією нашого духу. Ми знали з самого початку, що ми очікували зробити, його просто минулі роздуми про прогрес та розчарування утримували нас від нашої реальності.",,,
Башта and Справедливість,"- Божественне втручання (Вежа, щось, що прийде і що ви не можете зупинити), щоб відновити рівновагу у всьому (Справедливість)",,,
Сонце and Диявол,"- блаженне невігластво чи матеріалізм;
- пустощі, які приносять відчуття розширення чи визнання;
- вибрати неправильний шлях та насолоджуватися ним;
- повністю підкорятися чуттєвим (не обов'язково повністю сексуальним) заняттям та насолоджуватися ними;
- діяти зараз і не турбуватися ні про що з цього;
- хвора залежність, що підкреслює необхідність незалежності;
- бути поміченим, можливо, за «неправильну» дію;
- Обман та страх бути спійманим. Вина за те, що згрішила. Іноді, але рідко виникає відчуття ідентичності з великими творчими силами світу.
",,,
Король пентаклей and Четвірка пентаклей,- Безпека;,,,
Жриця and Четвірка жезлів,"- Ви всі знали, що у вас все вийде, вам просто потрібно слідувати своїй інтуїції до фінішу.",,,
Повішений and Дев'ятка жезлів,"- Довіряй і будь гнучким, чекаючи на захід твого корабля;
- принести в жертву стійкість;
- пожертвувати піщинкою;
- пожертвувати останньою версією;
- скинути стійкість;
- Випустити пісок;
- Випустити останній стенд;
- стійкість до мучеництва;
- мученицька крихта;
- мучеництво останньої віри.
",,,
Справедливість and Вісімка жезлів,"- Поки ми розуміємося на правді свого життя, у нашій подорожі, щоб знайти свою справжню особистість чи мету нашої душі, ми повинні усвідомлювати своє оточення та вчинки. Одна річ, яка є універсальною правдою про життя, – це очікувати несподіваного, і ця комбінація попереджає нас про те, що можуть бути затримки, зміни плану чи навіть розчарування. Єдине, за що треба триматися, це за те, що гонитва за нашою істинною особистістю, ціль нашої душі приведе до величезного щастя в часі!",,,
Сонце and Десятка мечів,"- ""Мені було боляче, щоб потрапити туди, де я"". Тут, повідомлення в тому, що ви були побиті раніше, можливо були численні розчарування, можливо, численні невдачі, АЛЕ, ви НІКОЛИ не здалися. Агонія і важка робота, щоб дістатися до того місця, де ви знаходитесь, не були марними, це було те, що ви дбали про свої зобов'язання, щоб отримати становище, яким ви зараз керуєте. Рок із самим собою.",,,
Суд and Місяць,"- будь готовий крім допомоги, інакше будь готовий обійтися без;
- Відображення непритомної;
- Відображення ілюзій;
- Відображення інтуїції;
- Розплата непритомний;
- Розрахунок ілюзій;
- Розрахунок інтуїції;
- пробудження непритомний;
- пробудження ілюзій;
- пробудження інтуїції;
- Злидні. Втома. Час допомоги, що потребує.
",,,
Суд and Звезда,"- трапиться правильне, ви повинні вірити в це;
- Іноді ви сприймаєте своє «справедливе» як хорошу річ, а іноді ви «отримуєте те, що заслуговуєте», і це здається негативним за своєю суттю;
- Разом ці картки можуть розповідати про реальне кохання, яке не відповідає мрії. Також реальність «справедливості», яка не відповідає мрії чи очікуванням;
- Той, хто добре пристосований до певної ролі чи роботи. Талант добре застосував на службі.
",,,
Суд and Башта,"- стриманість потрібна. Надто збудимо. Зі стриманістю, гарний час для фізичної праці;
- Відображення раптового перевороту;
- Відображення зламаної гордості;
- Відображення катастрофи;
- Розрахунок раптового перевороту;
- Розплати зламаної гордості;
- Розплата за біду;
- раптове пробудження;
- пробудження зламаної гордості;
- пробудження лиха;
- стриманість потрібна. Надто збудливий. Стриманістю, саме час займатися фізичною працею.
",,,
Суд and Поміркованість,"- Крижаний спокій. Більшість елементів особистості подані. Гарний час для проходження тесту;
- Середня траєкторія відображення;
- Відображення терпіння;
- Відображення набуття сенсу;
- Розрахунок середнього шляху;
- розраховувати на терпіння;
- розраховувати на набуття сенсу;
- пробудження середнього шляху;
- пробудження терпіння;
- пробудження набуття сенсу;
- Крижаний спокій. Пригнічення особи пригнічуються. Гарний час, щоб скласти тест.
",,,
Суд and Повішений,"- Чоловіка, якому легко довіряють. Стережіться брати на собі занадто багато зобов'язань;
- жертва відбитка;
- Роздум релізу;
- Відображення мучеництва;
- Розплата за жертву;
- розрахунок звільнення;
- Розплата за мучеництво;
- пробудження жертви;
- пробудження релізу;
- пробудження мучеництва;
- Чоловіка, якому легко довіряють. Стережіться брати на собі занадто багато зобов'язань.
",,,
Суд and Відлюдник,"- Будьте обережні з фізичними потребами. Зменшена енергія може раптово зазнати невдачі, послабивши захисні сили;
- Відображення споглядання;
- рефлексія пошуку істини;
- Відображення внутрішнього керівництва;
- Розрахунок споглядання;
- Розплата за пошук істини;
- розрахунок внутрішньої спрямованості;
- пробудження споглядання;
- пробуджуючий пошук істини;
- пробудження внутрішнього керівництва;
- Будьте обережні з фізичними потребами. Зниження енергії може раптово зазнати невдачі, залишаючи захисні механізми внизу.
",,,
Суд and Колесниця,"- Гарний час для абстрактного мислення. Час – ворог у матеріальних справах;
- Напрямок відображення;
- контроль відбитків;
- сила волі відбиття;
- Розрахунковий напрямок;
- Розрахунок розплати;
- розраховувати силу волі;
- Напрямок пробудження;
- контроль пробування;
- пробудження сили волі;
- Гарний час для абстрактного мислення. Час – ворог у матеріальних справах.
",,,
Суд and Закохані,"- Розрахунок дуальності;
- розрахунковий союз;
- Пробудження дуальності;
- Спілка пробудження;
- відносини відновлені;
- Роблячи важкий вибір, той, який відпускає щось, за що ти тримаєшся, за що ти не повинен триматися за те, що змінити, розвинути та перетворити тебе…;
- Кохання з першого погляду та новий старт у питаннях кохання. Доля руйнується, і інший початок принесе вам радість. Час нерішучості закінчено
- Потужні лічні посилання можуть бути сформовані. Некромантія та інші спіритичні дії посилюються.
",,,
Суд and Жрець,"- Схильність до надлишку
у питаннях судження. Не приймай рішень щодо
друзів.
- відображення традиції;
- Відповідність відображення;
- Відображення моралі;
- етика відбитків;
- розрахунок традиції;
- Розрахунок відповідності;
- Розплата за мораль;
- Розрахунок етики;
- пробудження традиції;
- пробудження відповідності;
- пробудження моралі;
- пробудження етики;
- Схильність до ізбиточних оцінок. Не приймайте рішень щодо друзів.
",,,
Суд and Імператор,"- Кінець циклу зростання визнано. Точка зміни цілей та методів. Випускний;
- відображення авторитету;
- структура відображення;
- контроль відображення;
- відображення батьківства;
- розплата влади;
- розрахункова структура;
- розрахунок розплати;
- розплата батьківства;
- пробудження влади;
- пробудження структури;
- контроль пробудження;
- пробудження батьківства;
– Перехід на новий пік досягнення. Може виникнути психокінез. Не намагайтеся щось виправити.
",,,
Суд and Жриця,"- Дар психометрії. Здатність вчитися ""розумовим осмосом"". Допускати почуття провини нерозумно.
- Відображення інтуїтивно зрозуміло;
- Відображення непритомної;
- Відображення внутрішнього голосу;
- Розрахунок інтуїтивно зрозумілий;
- Розплата непритомний;
- Розрахунок внутрішнього голосу;
- пробудження інтуїтивно;
- пробудження непритомний;
- пробудження внутрішнього голосу;
- Подарунок психології. Здатність вчитися ""розумовим осмосом"". Дозволяти почуття провини нерозумно.
",,,
Суд and Маг,"- Дуже сильна воля. Гарне
час, щоб прочитати важку книгу чи виконати важке завдання.
- Сила волі відображення;
- Відображення бажання;
- Створення відображення;
- Вияв відображення;
- розраховувати силу волі;
- Розрахункове бажання;
- Розплата створення;
- Розрахунковий прояв;
- пробудження сили волі;
- пробудження бажання;
- пробудження творіння;
- Пробудження прояви;
- Дуже сильна воля. Гарний час, щоб прочитати важку книгу або виконати важке завдання.
",,,
Суд and Блазень,"- пригнічуючі нав'язливі відчуття. Може залучати ""полтергейст"" явища. Вимоглива особистість;
- Відображення невинності;
- Відображення нових починань;
- Відображення вільного духу;
- Розрахунок невинності;
- розраховувати нові починання;
- розраховувати на вільний дух;
- пробудження невинності;
- пробудження нових починань;
- пробудження вільного духа;
- пригнічуючі нав'язливі відчуття. Маяттракт ""полтергейст"" явищ. Вимоглива особистість.
",,,
Суд and Десятка чаш,"- виконання розрахунків;
- розрахунок здійснення мрій;
- виконання пробудження;
- пробудження мрій;",,,
Сонце and Суд,"- результат буде щасливим та дасть вам необхідне закриття;
- Ситуація, в якій один вочевидь програє, а інший вочевидь виграє. Поділ між багатими та бідними, сильними та слабкими.",,,
"Сонце and Маг
","- життєвий урок;
- Радість волі;
- Радість бажання;
- радість творіння;
- Вияв радості;
- Сила волі успіху;
- Бажання успіху;
- Створення успіху;
- Вияв успіху;
- свято волі;
- святкування бажання;
- Створення свята;
- святкування прояву;
- Позитивність волі;
- Бажання позитиву;
- Створення позитиву;
- Вияв позитивності;
",,,
Сонце and Вісімка чаш,"- ми з радістю вносимо необхідні зміни;
- радість йдучи;
- Радість розчарування;
- Радість, що залишає позаду;
- успіх видаляється;
- Розчарування успіхом;
- успіх, що залишає позаду;
- свято йде;
- Розчарування святкування;
- свято, що залишає позаду;
- Позитив йдучи;
- розчарування у позитивності;
- Позитив, що залишає позаду;
",,,
Сонце and Четверка чаш,"- Споглядання успіху;
- успіх незв'язаності;
- святкування споглядання;
- святкове відключення;
- Позитивність споглядання;
- Позитивність роз'єднаності;
",,,
Сонце and Королева пентаклей,"- гроші течуть, і ви дбаєте про свій особистий грошовий потік;
- Радість практичності;
- Радість створення комфорту;
- Радість фінансової безпеки;
- практичність успіху;
- успіх істоти заспокоює;
- успіх фінансової безпеки;
- практичність святкування;
- свято комфорту істоти;
- відзначення фінансової безпеки;
- Позитивність практичність;
- Позитив комфорт істоти;
- Позитивність фінансового забезпечення;
",,,
Сонце and Дев'ятка пентаклей,"- ми зробили це, ми можемо піднятися і бути задоволеними нашим внеском та нашим життям загалом;
- Радість плоду праці;
- Радість винагороди;
- Радість розкоші;
- успіх плодів праці;
- нагороди за успіхи;
- Розкіш успіху;
- відзначення плодів праці;
- святкові нагороди;
- свято розкоші;
- Позитивні плоди праці;
- Позитивні нагороди;
- Позитив розкоші;
",,,
Місяць and Сонце,"- Час голоду. Фаст-фуд - гарна
річ із цим ознакою. Також існує небезпека захворіти внаслідок
перепадів температури: застуда, грип, пневмонія.
Дитячі хвороби Небезпека для молодих чи дуже старих.
- несвідома радість;
- несвідомий успіх;
- несвідоме свято;
- несвідома позитивність;
- Ілюзії радості;
- Ілюзії успіху;
- свято ілюзій;
- Ілюзії позитивності;
- Інтуїція радості;
- інтуїція успіху;
- свято інтуїції;
- Інтуїція позитиву;
- Час голоду. Також існує небезпека захворіти внаслідок перепадів температури: застуди, грип, пневмонія. Дитячі хвороби Небезпека для молодих чи дуже старих.
",,,
Зірка and Сонце,"- Людина зі значними навичками, який має служити іншому з більшою силою. Гарна вказівка ​​під час укладання договору надання послуг. Попередження, щоб зберегти своє місце у ситуації на роботі.
- Сподіваюся, радість;
- Сподіваюся на успіх;
- свято надії;
- надія позитиву;
- віра радості;
- віра успіху;
- святкування віри;
- віра позитиву;
- Радість омолодження;
- успіх омолодження;
- свято омолодження;
- Омолодження позитиву;
- Людина з великими навичками, яка має служити іншому, який має більшу владу. Хороший показник під час укладання договору надання послуг. Попередження, щоб тримати себе у ситуації на роботі.
",,,
Башта and Сонце,"- Успіх на важкій, але
ситної роботи. Ця пара карт передбачає «хороший
результат».
- Раптова радість перевороту;
- Раптовий переворот успіху;
- раптове потрясіння свята;
- Раптове зрушення;
- Зламана гордість радості;
- зламаний успіх гордості;
- зламано свято гордості;
- Зламана гордість позитиву;
- Радість лиха;
- успіх катастрофи;
- святкування стихійного лиха;
- Позитив лиха;
- Успіх, наступний за тяжкою, але незадовільною роботою. Ця пара карт передбачає ""хороший результат"". 
",,,
Помірність and Сонце,"- Вечірка
– Пупер. Той хто
свідомо відмовляється збуджуватись. Людина яка
автоматично робить виправдання, щоб уникнути соціальної активності.
- Середній шлях радості;
- Середній шлях успіху;
- середина шляху святкування;
- Середній шлях позитиву;
- терпіння радості;
- терпіння успіху;
- свято терпіння;
- терпіння позитиву;
- Набуття сенсу радості;
- Знайти сенс успіху;
- Набуття сенсу святкування;
- Знаходження значення позитиву;
- Вечірка-пупер. Той, хто свідомо відмовляється порушуватись. Людина, яка автоматично робить виправдання, щоб уникнути соціальної активності.
",,,
Місяць and Жриця,"- ілюзії несвідомого;
- Ілюзії внутрішнього голосу;
- інтуїція непритомна;
- інтуїція внутрішнього голосу;
- Чаклунство. Влада лікувати чи проклинати. Щось нове, що можна очікувати від наступного Нового Місяця.
",,,
Місяць and Король чаш,"- Працюйте над пошуком світла, все рухається вперед, ми просто боремося, щоб побачити світло, проте я гарантую вам, що воно тут.
- несвідоме співчуття;
- несвідомий контроль;
- несвідоме рівновагу;
- Ілюзії співчуття;
- Контроль над ілюзіями;
- баланс ілюзій;
- інтуїція, співчуття;
- інтуїтивне керування;
- баланс інтуїції;
",,,
Місяць and Сімка чаш,"- ілюзії вибору;
- ілюзії мрій;
- Інтуїтивний вибір;
- інтуїція мрій;
",,,
Місяць and П'ятірка мечів,"- ілюзії перемагають за всяку ціну;
- ілюзії підлості;
- інтуїція переможе за будь-яку ціну;
- інтуїція підлості;
",,,
Місяць and Король пентаклей,"- Звичайно, у нас є питання, звичайно, ми боїмося, але ми здобудемо перемогу над цим і продовжуємо фокусуватися на приголомшливій кінцевій меті, і цей приз – гроші;
- несвідоме достаток;
- неусвідомлене процвітання;
- несвідома безпека;
- велика кількість ілюзій;
- ілюзії процвітання;
- ілюзії безпеки;
- достаток інтуїції;
- процвітання інтуїції;
- Безпека інтуїції;
",,,
Зірка and Місяць,"- час здавання на перевірку. Якщо все
піде добре, нова навичка буде встановлена. Якщо справи
не виправдають очікувань, вчасно поверніться та виправте
помилки, допущені у минулому. Це експеримент, а
не практичний тест для поліпшення або
коригування.
- надія непритомна;
- надія ілюзій;
- інтуїція надії;
- віра непритомна;
- віруючі ілюзії;
- Віра інтуїція;
- Омолодження без свідомості;
- ілюзії омолодження;
- інтуїція омолодження;
- час здавання на перевірку. Якщо все пройде добре, нова навичка буде встановлена. Якщо не вдасться перевершити очікування, вчасно повернуся та виправлю помилки, зроблені в минулому. Це експеримент, а не практичний тест для покращення чи налаштування.
",,,
Башта and Місяць,"- Іноді виникає відчуття, що
за «восьмим м'ячем». Робота може бути дуже складною.
Ця пара карт зазвичай сигналізує про час напруженої роботи
після початкового хвилювання і призводить до можливих
щасливі результати.
- раптове потрясіння непритомне;
- Раптові перевороти ілюзій;
- Раптовий переворот інтуїції;
- зламана гордість непритомною;
- Зламані ілюзії гордості;
- зламана гордість інтуїції;
- катастрофа непритомна;
- ілюзії лиха;
- інтуїція лиха;
- Іноді виникає відчуття, що за «восьмим м'ячем». Робота може бути дуже складною. Ця пара карт зазвичай сигналізує про час важкої роботи, що супроводжує початкове збудження та призводить до можливих щасливих результатів.
",,,
Диявол and Місяць,"- матеріалізм ілюзій; матеріалізм;
- матеріалізм ілюзій грайливості;
- матеріалізм, інтуїція, матеріалізм;
- матеріалізм, інтуїція, грайливість;
- грайливість ілюзій матеріалізму;
- грайливість, ілюзії грайливості;
- грайливість, інтуїція, матеріалізм;
- грайливість, інтуїція, грайливість;
- Насолоджуватися відносинами з природою, подібними до тих, які описані для життя в Едемському саду, але більше з точки зору і почуттів розумної тварини, ніж людини.
",,,
Помірність and Місяць,"- Як Колесо Фортуни Трамп, взятий поодинці. Час ментального структурування, який відповідає еволюціонуючий порядок у зовнішньому світі. Людина яка може досягти багато за короткий час. Також дещо стримана маніакальна фаза в маніакально-депресивній особи.
- середній шлях непритомний;
- Середній шлях ілюзії;
- Середній шлях інтуїції;
- терпіння непритомний;
- терпіння ілюзій;
- терпіння, інтуїція;
- Знаходження значення непритомний;
- Знайти сенс ілюзії;
- Знайти сенс інтуїції;
- Як Колесо Фортуни наодинці. Час ментального структурування, що відповідає порядку у зовнішньому світі. Людина, яка здатна досягти дуже багато чого за короткий час. Також дещо обмежена маніакальна фаза у маніакально-депресивній особистості.
",,,
Смерть and Місяць,"- Тихе місце. Потреба у воді, щоб пити чи купатися. Спогади про мертвих або
більш ранніх періодів у житті. - Закінчення непритомної; - припинення ілюзій; - припинення інтуїції; - Тихе місце. Потреба у воді, щоб пити чи купатися. Спогади про мертві або ранні періоди в житті.
",,,
Повішений and Місяць,"- Застій. Лінива людина.
Хронічна легка хвороба. Потрібно пити каву по
вранці.
- приносити в жертву несвідоме;
- пожертвувати ілюзіями;
- жертвувати інтуїцією;
- звільнити без свідомості;
- звільнити ілюзії;
- відпустити інтуїцію;
- мучеництво непритомний;
- мученицька ілюзія;
- мученицька інтуїція;
- Застій. Лінива людина. Хронічна легка хвороба. Потреба пити каву вранці.
",,,
Зірка and Двійка пентаклей,"- Приймаючи нову пригоду у житті. Позбутися старої шкіри, щоб почати новий розділ? Це м'яке нагадування, що ці головні життєві зміни будуть страшними і можуть призвести до самооборони. Ось у чому справа, це природно відчувати, тому що це страшно починати на новому шляху, але нагороди більше ніж страх;
- надія на баланс рішення;
- надія на пріоритети;
- надія пристосовується до змін;
- Рішення про баланс віри;
- Релігійні пріоритети;
- віра, що адаптується до змін;
- Омолоджуючі балансуючі рішення;
- Пріоритети омолодження;
- Омолодження, що адаптується до змін;
",,,
Башта and Зірка,"- відновлення від скрутного часу. Проекти, реалізовані в такий час, почнуться добре, але можуть швидко зазнати невдачі через втрату інтересу. Шукайте розвагу та використовуйте нові ідеї пізніше. Остерігайтеся ставати занадто схвильованим або робити розширені зобов'язання.
- Раптовий переворот надії;
- раптове потрясіння вірою;
- раптове омолодження шкіри;
- Зламана гордість надії;
- Зламана гордість віри;
- зламана гордість омолодження;
- надія на лихо;
- віра лиха;
- Омолодження від стихійних лих;
- відновлення після важкого періоду. Проекти, здійснені в цей час, почнуться добре, але можуть швидко зазнати невдачі через втрату інтересу. Шукайте розвагу та використовуйте нові ідеї пізніше. Остерігайтеся бути занадто схвильованим або робити розширені зобов'язання.
",,,
Диявол and Зірка,"- Більшість атрибутів Світового
Трампа взяті одні. Чітке сприйняття матеріальної
сторони речей. Оцінка природи. Радість життя. Дерева.
- Залежність від надії;
- Залежність віри;
- Омолодження наркоманії;
- матеріалізм надії;
- матеріалізм віри;
- Омолодження матеріалізму;
- грайлива надія;
- грайливість віри;
- грайливість омолодження;
- Більшість атрибутів WorldTrump взяті поодинці. Чітке сприйняття матеріального боку речей. Оцінка природи. Радість життя. Дерева.
",,,
Помірність and Зірка,"- Складність у самосвідомості.
Розумна плутанина під час матеріального ладу. Людина,
який почувається нездатним контактувати з внутрішнім я. Глядач на
заході чи виставці.
- Середній шлях надії;
- Середній шлях віри;
- Середній шлях омолодження;
- терпіння, надія;
- терпіння віра;
- терпіння омолодження;
- Набуття сенсу надії;
- Набуття сенсу віри;
- Набуття сенсу омолодження;
- Труднощі у самосвідомості. Розумна плутанина під час матеріального ладу. Аперсон, який почувається нездатним зв'язатися з внутрішнім я. Аспектатор на заході чи виставці.
",,,
Смерть and Зірка,"- Відновлення після гноблення чи хвороби.
Самотність. Візуальні переживання вночі, що сильно нагадують
про Місячний Трамп. Кімнатні рослини можуть отримувати дуже багато
води.
- кінець надії;
- Закінчення віри;
- припинення омолодження;
- Відновлення від гноблення чи хвороби. Самотність. Візуальні переживання у нічний час, що сильно підштовхують до Місяця Трампа. Кімнатні рослини можуть отримувати надто багато води.
",,,
Повішений and Зірка,"- Той, хто легко помиляється.
Людина, яка мешкає підопічних. Поганий суддя
характеру. Мрійник.
- пожертвувати надією;
- пожертвувати вірою;
- жертвувати омолодженням;
- відпусти надію;
- звільнити віру;
- звільнити омолодження;
- мученицька надія;
- мученицька віра;
- мучеництво омолодження;
- Той, кого легко ввести в оману. Аперсон, який мешкає з підміною. Поганий суддя характеру. Мрійник.
",,,
Справедливість and Зірка,"- Тонка перемога. Той, хто майже
ніколи не вступає у бійки. Також божевільна людина, яка мила.
- причина та наслідок надії;
- причина та наслідок віри;
- причина та наслідок омолодження;
- ясність надії;
- ясність віри;
- ясність омолодження;
- щоправда надія;
- правда віра;
- Омолодження правди;
- Тонка перемога. Той, хто майже ніколи не вступає у бійки. Також божевільна людина, яка є привабливою.
",,,
Колесо Фортуни and Зірка,"- Самопізнання,
самоаналіз для самовдосконалення.
Людина, яка визнає елемент випадковості у своїй
життя і уникає жорстокого поводження з приводу невдачі.
- Змінити надію;
- Змінити віру;
- поміняти омолодження;
- цикли надії;
- цикли віри;
- цикли омолодження;
- Неминуча доля надії;
- Неминуча доля віри;
- неминуче омолодження долі;
- самопізнання, самоаналіз для самовдосконалення. Людина, яка визнає елемент випадковості у своєму житті та уникає насильства над собою через невдачу.
",,,
Пустельник and Зірка,"- Треба бути одному.
- споглядання надії;
- споглядання віри;
- споглядання омолодження;
- Шукати істину надію;
- шукати істину вірою;
- Пошук істини омолодження;
- Внутрішнє керівництво надією;
- Внутрішнє керівництво вірою;
- Внутрішнє керівництво омолодження;
- Треба бути одному.
",,,
Суд and Башта,"- стриманість потрібна. Надто збудимо. Зі стриманістю, гарний час для фізичної праці;
- Відображення раптового перевороту;
- Відображення зламаної гордості;
- Відображення катастрофи;
- Розрахунок раптового перевороту;
- Розплати зламаної гордості;
- Розплата за біду;
- раптове пробудження;
- пробудження зламаної гордості;
- пробудження лиха;
- стриманість потрібна. Tooexcitable. Зі стриманістю, саме час зайнятися фізичною працею.
",,,
Башта and Суд,"- Відмова відбудеться з/через надмірне збудження та відсутність суджень. 
- Раптовий переворот;
- Зламана гордість;
- стихійне лихо ;
- Відмова відбудеться через надмірне збудження та відсутність розсудливості. Гарний час, щоб розглянути страхування.",,,
Диявол and Башта,"- матеріалізм зламаний гордістю матеріалізму;
- матеріалізм зламав гордість грайливість;
- матеріалізм лихо матеріалізм;
- матеріалізм, лихо, грайливість;
- грайливість зламана гордістю матеріалізму;
- грайливість зламана, гордість грайливість;
- грайливість стихійного матеріалізму;
- грайливість стихійна грайливість;
Час істини. Або період страху та приховування, або час тріумфу та слави. Досвід раптового пробудження до чистої реальності.
",,,
Помірність and Башта,"- Кінець експерименту
або досвід було досягнуто. Час очікувати на зміни
або планувати розваги, щоб уникнути нудьги. Час для відпочинку.
- Середній шлях раптового перевороту;
- Середня стежка зламаної гордості;
- Середній шлях лиха;
- терпіння раптового перевороту;
- терпіння зламало гордість;
- терпіння лиха;
- Виявлення сенсу раптового перевороту;
- Набуття сенсу зламаної гордості;
- знайти сенс лиха;
- Кінець експерименту було досягнуто. Час очікувати змін або планувати диверсії, щоб уникнути нудьги. Час для відпочинку.
",,,
Смерть and Башта,"- Іноді жар та супутні
захворювання. Галюцинації. Також психічне усвідомлення. Ця
пара може сигналізувати про необхідність стежити за ознаками, щоб запобігти нещастю.
- припинення раптових потрясінь;
- припинення зламаної гордості;
- Припинення катастрофи;
- Іноді жар та супутня слабкість. Галюцинації. Також психічне усвідомлення. Ця пара може сигналізувати про необхідність стежити за ознаками до нещастя.
",,,
Повішений and Башта,"- Зазвичай тиха людина,
який іноді вибухає в активності чи прояві
емоцій. Людина, якій потрібно час від часу кричати
. Стислий досвід інтенсивного хвилювання.
- жертва раптового перевороту;
- пожертвувати зламаною гордістю;
- пожертвувати бідою;
- відпустити раптовий переворот;
- звільни зламану гордість;
- випустити лихо;
- мучеництво раптового перевороту;
- мучеництво зламаної гордості;
- мученицька катастрофа;
- Зазвичай тиха людина, яка іноді вибухає у діяльності чи прояві емоцій. Аперсон, якому треба час від часу кричати. Короткий досвід інтенсивного збудження.
",,,
Колесо Фортуни and Башта,"- Змінити раптові потрясіння;
- змінити зламану гордість;
- Змінити катастрофу;
- цикли раптового перевороту;
- цикли зламаної гордості;
- цикли лиха;
- Неминуча доля раптових потрясінь;
- Неминуча доля зламаної гордості;
- Неминуча доля лиха;
- Багато в чому як Колесо Фортуни, взяте самотужки, але зосереджене на успіху чи невдачі під час кризи. Залежить від відносини, а чи не від обставин.
",,,
